epoch,accuracy,loss,val_accuracy,val_loss
0,0.7329999804496765,0.7708247303962708,0.8100000023841858,0.41773033142089844
1,0.843999981880188,0.4119114279747009,0.8700000047683716,0.30030199885368347
2,0.8759999871253967,0.3092711865901947,0.8399999737739563,0.422534704208374
3,0.8930000066757202,0.27475473284721375,0.8174999952316284,0.5413438081741333
4,0.9049999713897705,0.23691841959953308,0.8737499713897705,0.3436955213546753
5,0.9269999861717224,0.19347408413887024,0.9049999713897705,0.29290851950645447
6,0.9290000200271606,0.1697012335062027,0.8899999856948853,0.4242722690105438
7,0.9409999847412109,0.1499698907136917,0.8962500095367432,0.4086229205131531
8,0.9549999833106995,0.12258943170309067,0.8774999976158142,0.40321028232574463
9,0.9559999704360962,0.10756219178438187,0.8587499856948853,0.5325031876564026
